
======================================================================
Evaluating subject: business_ethics
======================================================================

======================================================================
Evaluating subject: astronomy
======================================================================
Q1: ✗ (Predicted: D, Correct: A)
Q54: ✓ (Predicted: A, Correct: A)
Q54: ✗ (Predicted: B, Correct: C)
Q55: ✗ (Predicted: A, Correct: D)
Q55: ✓ (Predicted: A, Correct: A)
Q56: ✓ (Predicted: C, Correct: C)
Q56: ✗ (Predicted: A, Correct: C)
Q57: ✗ (Predicted: A, Correct: D)
Q57: ✗ (Predicted: A, Correct: C)
Q58: ✗ (Predicted: A, Correct: D)
Q58: ✓ (Predicted: A, Correct: A)
Q59: ✗ (Predicted: A, Correct: C)
Q59: ✗ (Predicted: B, Correct: C)
Q60: ✗ (Predicted: A, Correct: D)
Q60: ✗ (Predicted: A, Correct: D)
Q61: ✗ (Predicted: A, Correct: D)
Q61: ✓ (Predicted: D, Correct: D)
Q62: ✗ (Predicted: A, Correct: D)
Q62: ✓ (Predicted: A, Correct: A)
Q63: ✓ (Predicted: B, Correct: B)
Q63: ✗ (Predicted: A, Correct: B)
Q64: ✗ (Predicted: B, Correct: A)
Q64: ✓ (Predicted: A, Correct: A)
Q65: ✗ (Predicted: B, Correct: C)
Q65: ✓ (Predicted: A, Correct: A)
Q66: ✗ (Predicted: A, Correct: C)
Q66: ✓ (Predicted: A, Correct: A)
Q67: ✗ (Predicted: A, Correct: B)
Q67: ✗ (Predicted: A, Correct: D)
Q68: ✗ (Predicted: D, Correct: B)
Q68: ✓ (Predicted: A, Correct: A)
Q69: ✗ (Predicted: A, Correct: B)
Q69: ✓ (Predicted: A, Correct: A)
Q70: ✗ (Predicted: A, Correct: C)
Q70: ✓ (Predicted: A, Correct: A)
Q71: ✓ (Predicted: B, Correct: B)
Q71: ✗ (Predicted: A, Correct: B)
Q72: ✗ (Predicted: B, Correct: D)
Q72: ✗ (Predicted: A, Correct: B)
Q73: ✗ (Predicted: A, Correct: C)
Q73: ✓ (Predicted: A, Correct: A)
Q74: ✓ (Predicted: D, Correct: D)
Q74: ✗ (Predicted: A, Correct: C)
Q75: ✗ (Predicted: A, Correct: C)
Q75: ✗ (Predicted: A, Correct: B)
Q76: ✗ (Predicted: A, Correct: C)
Q76: ✗ (Predicted: A, Correct: C)
Q77: ✓ (Predicted: A, Correct: A)
Q77: ✓ (Predicted: A, Correct: A)
Q78: ✓ (Predicted: A, Correct: A)
Q78: ✗ (Predicted: D, Correct: C)
Q79: ✓ (Predicted: B, Correct: B)
Q79: ✓ (Predicted: A, Correct: A)
Q80: ✗ (Predicted: A, Correct: C)
Q80: ✓ (Predicted: A, Correct: A)
Q81: ✗ (Predicted: A, Correct: C)
Q81: ✗ (Predicted: A, Correct: B)
Q82: ✗ (Predicted: A, Correct: C)
Q82: ✗ (Predicted: A, Correct: C)
Q83: ✓ (Predicted: A, Correct: A)
Q83: ✗ (Predicted: A, Correct: D)
Q84: ✗ (Predicted: B, Correct: A)
Q84: ✓ (Predicted: D, Correct: D)
Q85: ✗ (Predicted: D, Correct: A)
Q85: ✗ (Predicted: A, Correct: C)
Q86: ✓ (Predicted: A, Correct: A)
Q86: ✗ (Predicted: A, Correct: C)
Q87: ✗ (Predicted: A, Correct: C)
Q87: ✗ (Predicted: B, Correct: C)
Q88: ✗ (Predicted: A, Correct: B)
Q88: ✓ (Predicted: A, Correct: A)
Q89: ✗ (Predicted: A, Correct: C)
Q89: ✓ (Predicted: B, Correct: B)
Q90: ✗ (Predicted: A, Correct: D)
Q90: ✓ (Predicted: B, Correct: B)
Q91: ✗ (Predicted: A, Correct: D)
Q91: ✓ (Predicted: B, Correct: B)
Q92: ✗ (Predicted: A, Correct: B)
Q92: ✓ (Predicted: A, Correct: A)
Q93: ✓ (Predicted: A, Correct: A)
Q93: ✗ (Predicted: A, Correct: D)
Q94: ✗ (Predicted: A, Correct: D)
Q94: ✓ (Predicted: D, Correct: D)
Q95: ✓ (Predicted: A, Correct: A)
Q95: ✗ (Predicted: A, Correct: B)
Q96: ✗ (Predicted: A, Correct: B)
Q96: ✓ (Predicted: A, Correct: A)
Q97: ✓ (Predicted: D, Correct: D)
Q97: ✗ (Predicted: B, Correct: C)
Q98: ✗ (Predicted: A, Correct: C)
Q98: ✓ (Predicted: A, Correct: A)
Q99: ✗ (Predicted: A, Correct: C)
Q99: ✓ (Predicted: D, Correct: D)
Q100: ✗ (Predicted: B, Correct: C)
Q100: ✓ (Predicted: B, Correct: B)

Result: 48/100 correct = 48.00%
======================================================================

Duration: 27.93 seconds
Q101: ✓ (Predicted: A, Correct: A)
Q102: ✗ (Predicted: A, Correct: D)
Q103: ✗ (Predicted: D, Correct: C)
Q104: ✓ (Predicted: D, Correct: D)
Q105: ✗ (Predicted: B, Correct: C)
Q106: ✓ (Predicted: A, Correct: A)
Q107: ✓ (Predicted: B, Correct: B)
Q108: ✗ (Predicted: A, Correct: C)
Q109: ✗ (Predicted: A, Correct: D)
Q110: ✓ (Predicted: B, Correct: B)
Q111: ✗ (Predicted: A, Correct: B)
Q112: ✗ (Predicted: A, Correct: D)
Q113: ✗ (Predicted: A, Correct: D)
Q114: ✗ (Predicted: A, Correct: C)
Q115: ✗ (Predicted: B, Correct: A)
Q116: ✗ (Predicted: B, Correct: D)
Q117: ✗ (Predicted: A, Correct: D)
Q118: ✗ (Predicted: A, Correct: C)
Q119: ✓ (Predicted: A, Correct: A)
Q120: ✗ (Predicted: A, Correct: D)
Q121: ✗ (Predicted: A, Correct: B)
Q122: ✗ (Predicted: D, Correct: B)
Q123: ✓ (Predicted: C, Correct: C)
Q124: ✗ (Predicted: A, Correct: D)
Q125: ✓ (Predicted: D, Correct: D)
Q126: ✗ (Predicted: A, Correct: D)
Q127: ✗ (Predicted: A, Correct: D)
Q128: ✗ (Predicted: A, Correct: C)
Q129: ✗ (Predicted: A, Correct: D)
Q130: ✗ (Predicted: B, Correct: C)
Q131: ✗ (Predicted: B, Correct: A)
Q132: ✓ (Predicted: B, Correct: B)
Q133: ✗ (Predicted: B, Correct: C)
Q134: ✗ (Predicted: A, Correct: B)
Q135: ✗ (Predicted: B, Correct: D)
Q136: ✗ (Predicted: A, Correct: D)
Q137: ✗ (Predicted: A, Correct: C)
Q138: ✓ (Predicted: D, Correct: D)
Q139: ✗ (Predicted: A, Correct: D)
Q140: ✗ (Predicted: A, Correct: C)
Q141: ✗ (Predicted: D, Correct: A)
Q142: ✗ (Predicted: A, Correct: C)
Q143: ✗ (Predicted: D, Correct: C)
Q144: ✓ (Predicted: A, Correct: A)
Q145: ✗ (Predicted: A, Correct: B)
Q146: ✗ (Predicted: A, Correct: D)
Q147: ✗ (Predicted: A, Correct: B)
Q148: ✓ (Predicted: A, Correct: A)
Q149: ✓ (Predicted: D, Correct: D)
Q150: ✗ (Predicted: D, Correct: A)
Q151: ✗ (Predicted: A, Correct: C)
Q152: ✗ (Predicted: A, Correct: B)

Result: 44/152 correct = 28.95%
======================================================================

Duration: 40.41 seconds

real	0m41.745s
user	0m4.751s
sys	0m0.439s
