
======================================================================
Evaluating subject: astronomy
======================================================================
README.md: 53.2kB [00:00, 87.2MB/s]
Q3: ✗ (Predicted: B, Correct: D)
Q4: ✗ (Predicted: C, Correct: D)
Q5: ✓ (Predicted: B, Correct: B)
Q6: ✗ (Predicted: A, Correct: B)
Q7: ✗ (Predicted: A, Correct: B)
Q8: ✓ (Predicted: A, Correct: A)
Q9: ✗ (Predicted: A, Correct: B)
Q10: ✗ (Predicted: B, Correct: C)
Q11: ✗ (Predicted: A, Correct: C)
Q12: ✗ (Predicted: A, Correct: C)
Q13: ✓ (Predicted: D, Correct: D)
Q14: ✓ (Predicted: B, Correct: B)
Q15: ✗ (Predicted: A, Correct: D)
Q16: ✓ (Predicted: B, Correct: B)
Q17: ✓ (Predicted: A, Correct: A)
Q18: ✗ (Predicted: A, Correct: C)
Q19: ✓ (Predicted: C, Correct: C)
Q20: ✓ (Predicted: A, Correct: A)
Q21: ✓ (Predicted: A, Correct: A)
Q22: ✗ (Predicted: A, Correct: B)
Q23: ✗ (Predicted: A, Correct: C)
Q24: ✓ (Predicted: A, Correct: A)
Q25: ✓ (Predicted: A, Correct: A)
Q26: ✓ (Predicted: B, Correct: B)
Q27: ✗ (Predicted: D, Correct: B)
Q28: ✗ (Predicted: A, Correct: C)
Q29: ✓ (Predicted: D, Correct: D)
Q30: ✗ (Predicted: A, Correct: D)
Q31: ✓ (Predicted: A, Correct: A)
Q32: ✓ (Predicted: A, Correct: A)
Q33: ✗ (Predicted: A, Correct: D)
Q34: ✓ (Predicted: A, Correct: A)
Q35: ✗ (Predicted: A, Correct: D)
Q36: ✗ (Predicted: A, Correct: C)
Q37: ✗ (Predicted: A, Correct: B)
Q38: ✗ (Predicted: A, Correct: D)
Q39: ✗ (Predicted: A, Correct: C)
Q40: ✗ (Predicted: A, Correct: B)
Q41: ✗ (Predicted: A, Correct: D)
Q42: ✓ (Predicted: A, Correct: A)
Q43: ✗ (Predicted: D, Correct: A)
Q44: ✓ (Predicted: B, Correct: B)
Q45: ✗ (Predicted: C, Correct: B)
Q46: ✓ (Predicted: D, Correct: D)
Q47: ✗ (Predicted: A, Correct: C)
Q48: ✓ (Predicted: A, Correct: A)
Q49: ✗ (Predicted: A, Correct: D)
Q50: ✗ (Predicted: A, Correct: B)
Q51: ✓ (Predicted: A, Correct: A)
Q52: ✓ (Predicted: B, Correct: B)
Q53: ✓ (Predicted: D, Correct: D)
Q54: ✗ (Predicted: B, Correct: C)
Q55: ✓ (Predicted: A, Correct: A)
Q56: ✗ (Predicted: A, Correct: C)
Q57: ✗ (Predicted: A, Correct: C)
Q58: ✓ (Predicted: A, Correct: A)
Q59: ✗ (Predicted: B, Correct: C)
Q60: ✗ (Predicted: A, Correct: D)
Q61: ✓ (Predicted: D, Correct: D)
Q62: ✓ (Predicted: A, Correct: A)
Q63: ✗ (Predicted: A, Correct: B)
Q64: ✓ (Predicted: A, Correct: A)
Q65: ✓ (Predicted: A, Correct: A)
Q66: ✓ (Predicted: A, Correct: A)
Q67: ✗ (Predicted: A, Correct: D)
Q68: ✓ (Predicted: A, Correct: A)
Q69: ✓ (Predicted: A, Correct: A)
Q70: ✓ (Predicted: A, Correct: A)
Q71: ✗ (Predicted: A, Correct: B)
Q72: ✗ (Predicted: A, Correct: B)
Q73: ✓ (Predicted: A, Correct: A)
Q74: ✗ (Predicted: A, Correct: C)
Q75: ✗ (Predicted: A, Correct: B)
Q76: ✗ (Predicted: A, Correct: C)
Q77: ✓ (Predicted: A, Correct: A)
Q78: ✗ (Predicted: D, Correct: C)
Q79: ✓ (Predicted: A, Correct: A)
Q80: ✓ (Predicted: A, Correct: A)
Q81: ✗ (Predicted: A, Correct: B)
Q82: ✗ (Predicted: A, Correct: C)
Q83: ✗ (Predicted: A, Correct: D)
Q84: ✓ (Predicted: D, Correct: D)
Q85: ✗ (Predicted: A, Correct: C)
Q86: ✗ (Predicted: A, Correct: C)
Q87: ✗ (Predicted: B, Correct: C)
Q88: ✓ (Predicted: A, Correct: A)
Q89: ✓ (Predicted: B, Correct: B)
Q90: ✓ (Predicted: B, Correct: B)
Q91: ✓ (Predicted: B, Correct: B)
Q92: ✓ (Predicted: A, Correct: A)
Q93: ✗ (Predicted: A, Correct: D)
Q94: ✓ (Predicted: D, Correct: D)
Q95: ✗ (Predicted: A, Correct: B)
Q96: ✓ (Predicted: A, Correct: A)
Q97: ✗ (Predicted: B, Correct: C)
Q98: ✓ (Predicted: A, Correct: A)
Q99: ✓ (Predicted: D, Correct: D)
Q100: ✓ (Predicted: B, Correct: B)

Result: 48/100 correct = 48.00%
======================================================================

Duration: 26.60 seconds

real	1m12.463s
user	0m6.918s
sys	0m0.513s
